State,State Code,Capital,Area,District Count,Total Population,Male Population,Female Population,Rural Population,Urban Population,Population Density,Sex Ratio,Child Sex Ratio,Population Growth,Households,Average Household Size,Children (0-6),Working Age Population,Senior Citizens,Overall Literacy,Male Literacy,Female Literacy,Primary Schools,Secondary Schools,Colleges,Universities,Main Workers,Marginal Workers,Total Workers,Worker Participation Rate,Cultivators,Agricultural Labourers,Other Workers,Electricity,Tap Water,Toilet,LPG,Cooking Fuel,Internet,Computer,Television,Telephone,Vehicle Ownership,Concrete Roof,Pucca House,SC Population,ST Population,SC %,ST %,Hindu %,Muslim %,Christian %,Sikh %,Buddhist %,Jain %,Other Religions %,Top Language,Second Language,Third Language,Total Migrants,Male Migrants,Female Migrants,Road Length,Railway Stations,Airports,Hospitals,Hospital Beds,Doctors,Primary Health Centres,Forest Cover,Tree Cover,Rainfall,Average Temperature,Water Bodies,Lok Sabha Seats,Rajya Sabha Seats,Municipal Corporations,Mobile Subscribers,Internet Subscribers,Broadband Subscribers,Bank Branches,ATMs,Crime Rate,Cyber Crime,Crimes Against Women,Per Capita Income,Gross State Domestic Product,Tourist Arrivals,National Parks,Wildlife Sanctuaries,UNESCO Sites,Urbanization Rate,Male %,Female %,Dependency Ratio,Population per District,Households per District,Population per Hospital,Population per Doctor,Population per School,Population per College,Population per University,Road Density,Forest %,Literacy Gap,Worker %,Agriculture %,Internet Penetration,Electricity Coverage,Toilet Coverage,LPG Coverage,Vehicle Ownership Rate,Population Growth %,Population Density Category,Urban/Rural Ratio,Buddhist Count,Christian Count,Hindu Count,Illiterate Total,Jain Count,Literate Total,Muslim Count,Non Workers,Number of towns,Number of villages,Other Religions Count,Sikh Count
Dadra and Nagar Haveli,26,,491,24.0,343709,193760,149949,183114.0,160595.0,700.0183299389003,773.8903798513626,1000.0,,76458,4.495396165214889,50895.0,221632.0,13823.0,0.6494738281511395,,,,,,,260598,7894,268492,0.7811608075435906,1872,12368.0,540,,0.46536550648070846,0.45685230554453005,,,,,,,,,,,,,,0.9393324003735718,0.03759575687572918,0.014875956114038328,0.0006313480298741086,0.0018445836448856446,0.003450593379864944,0.000852465312226331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4672411836757257,0.5637326924811396,0.43626730751886045,0.2920065694484551,14321.208333333334,3185.75,,,,,,,,,0.7811608075435906,0.053036961995143246,,,0.45685230554453005,,,,High,0.8770219644592986,634,5113,322857,5126,1186,223230,12922,373096,6,65,293,217
Maharashtra,27,,307713,24.0,112374333,58243056,54131277,61556074.0,50818259.0,365.1920230864474,929.403103436056,1000.0,,24421519,4.6014473137399845,13326517.0,70942487.0,11048985.0,0.725737700262924,,,,,,,87525780,1673480,89199260,0.7937689828156755,838180,22137856.0,492486,,0.6789306848595377,0.49342638744000356,,,,,,,,,,,,,,0.7982521862888388,0.11542806665646684,0.009611385190602199,0.001986636930694841,0.05812003351334686,0.012461466623343607,0.0015925789744175834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45222300896771506,0.5182950095908467,0.4817049904091533,0.34359525625313925,4682263.875,1017563.2916666666,,,,,,,,,0.7937689828156755,0.2575810158066334,,,0.49342638744000356,,,,Medium,0.8255604312906636,6531200,1080073,89703057,1673402,1400349,81554290,12971152,125892910,534,40959,178965,223247
Andhra Pradesh,28,,275045,24.0,84580777,42442146,42138631,56361702.0,28219075.0,307.5161409951099,992.8487357825875,1000.0,,21022588,4.023328478872345,9142802.0,53740313.0,8250256.0,0.5977334542575791,,,,,,,66074756,1676208,67750964,0.8010208276994192,344434,26403978.0,879918,,0.698782194173721,0.5136828240759106,,,,,,,,,,,,,,0.8846472171803292,0.09555849788421783,0.013357455914598656,0.00047580551311322193,0.0004338101552318442,0.0006366576651335327,0.00011287434732362414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3336346153452811,0.5017942315663523,0.4982057684336478,0.3236501060200375,3524199.0416666665,875941.1666666666,,,,,,,,,0.8010208276994192,0.394804891632243,,,0.5136828240759106,,,,Medium,0.5006781910170136,36692,1129784,74824149,1626482,53849,50556760,8082412,90315742,353,26286,9547,40244
Karnataka,29,,191791,24.0,61095297,30966657,30128640,37469335.0,23625962.0,318.5514283777654,972.9380862777665,1000.0,,13357027,4.574019128657897,7161033.0,39233540.0,5768275.0,0.665310162908284,,,,,,,46794362,1087538,47881900,0.7837248094562826,151552,10239842.0,367864,,0.6606238843342721,0.5012723530530669,,,,,,,,,,,,,,0.8399578121373238,0.12919267746582852,0.018702699816648734,0.0004709527805389014,0.0015665690273999322,0.0072064466762474366,0.00018435134213358519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38670672146826623,0.5068582774873818,0.4931417225126183,0.32954732099117234,2545637.375,556542.7916666666,,,,,,,,,0.7837248094562826,0.21702133791683287,,,0.5012723530530669,,,,Medium,0.6305412679461752,95710,1142647,51317472,1005332,440280,40647322,7893065,66445400,347,27397,11263,28773
Goa,30,,3702,24.0,1458545,739140,719405,551731.0,906814.0,393.9883846569422,973.3000514110994,1000.0,,343611,4.244756425143549,144611.0,974796.0,163101.0,0.799075105670377,,,,,,,952106,40698,992804,0.6806810897161212,5302,21516.0,8070,,0.8540362376979861,0.21624593805082198,,,,,,,,,,,,,,0.6608483111594089,0.0833460743412099,0.25102413706810556,0.0010099105615527803,0.0007507481771217206,0.0007603467839525006,0.00017688861159580267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6217250753319232,0.5067653037787658,0.49323469622123417,0.3156680987611767,60772.708333333336,14317.125,,,,,,,,,0.6806810897161212,0.027012381094354977,,,0.21624593805082198,,,,Medium,1.6435799329745837,1095,366130,963877,12418,1109,1165487,121564,1762594,70,320,258,1473
Lakshadweep,31,,30,24.0,64473,33123,31350,14141.0,50332.0,2149.1,946.4722398333483,1000.0,,11574,5.570502851218248,7255.0,42631.0,5256.0,0.8151164053169544,,,,,,,21608,5174,26782,0.415398694026957,1480,,1094,,0.20256002989815938,0.024665981500513873,,,,,,,,,,,,,,0.027732539202456843,0.9657996370573728,0.004916786872023948,0.00012408294945170847,0.0001551036868146356,0.00017061405549609915,0.00010857258077024491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7806678764754238,0.5137499418361174,0.48625005816388256,0.29347188665525087,2686.375,482.25,,,,,,,,,0.415398694026957,,,,0.024665981500513873,,,,Very High,3.5592956650873346,10,317,1788,1192,11,52553,62268,91440,6,6,7,8
Kerala,32,,38852,24.0,33406061,16027412,17378649,17471135.0,15934926.0,859.8286059919695,1084.3078720382305,1000.0,,7853754,4.253515070627372,3472955.0,21347208.0,4187962.0,0.842237101824127,,,,,,,18659494,922226,19581720,0.5861726708814906,226520,1838272.0,324932,,0.293365014896901,0.08365773025399248,,,,,,,,,,,,,,0.5472806865796,0.26562461225224965,0.18383696898595736,0.00011417089850850718,0.00014224963547782542,0.0001343768126388801,0.00022804245014100886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4770070317479214,0.47977557126534615,0.5202244287346539,0.35887208294405526,1391919.2083333333,327239.75,,,,,,,,,0.5861726708814906,0.10544487409686176,,,0.08365773025399248,,,,High,0.9120715969511998,4752,6141269,18282492,882940,4489,28135824,8873472,43573996,520,1017,7618,3814
Tamil Nadu,33,,130060,24.0,72147030,36137975,36009055,37229590.0,34917440.0,554.7211287098262,996.4325615920649,1000.0,,18524982,3.894580302426205,7423832.0,47562964.0,7497104.0,0.7184981419193556,,,,,,,55884362,1446310,57330672,0.7946366191373366,251508,14468202.0,534978,,0.797739880321222,0.5254757164101471,,,,,,,,,,,,,,0.875824936937806,0.05862305073403576,0.06124064982300727,0.0002023783931230433,0.0001550444973271942,0.0012372650682917926,0.00010276237289324314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48397612486612407,0.5008934532717424,0.49910654672825755,0.3137091288087092,3006126.25,771874.25,,,,,,,,,0.7946366191373366,0.25675104593227166,,,0.5254757164101471,,,,High,0.9378948304292365,11186,4418331,63188168,1591662,89265,51837507,4229479,78524698,1097,15049,7414,14601
Puducherry,34,,490,24.0,1247953,612511,635442,395200.0,852753.0,2546.842857142857,1037.437694996498,1000.0,,302450,4.1261464704909905,132858.0,828024.0,120264.0,0.7671034085418281,,,,,,,799378,18904,818282,0.6556993732937058,5706,101214.0,1676,,0.9527011776576959,0.3184189912239939,,,,,,,,,,,,,,0.8729567539803181,0.060543946767226006,0.06294307558057075,0.0002379897319850988,0.00036139181523663153,0.0011218371204684793,0.0001346204544562175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6833214071363265,0.4908125546394776,0.5091874453605224,0.30569403785397525,51998.041666666664,12602.083333333334,,,,,,,,,0.6556993732937058,0.13066400091899857,,,0.3184189912239939,,,,Very High,2.157775809716599,451,78550,1089409,29870,1400,957309,75556,1605970,10,90,168,297
Andaman and Nicobar Islands,35,,8249,24.0,380581,202871,177710,237093.0,143488.0,46.136622620923745,875.9753735132177,1000.0,,94551,4.025139871603685,40878.0,262114.0,25322.0,0.7732414387475991,,,,,,,251820,11052,262872,0.6907123582102102,1652,5360.0,3586,,0.850057830705963,0.31923620630568883,,,,,,,,,,,,,,0.694454005848952,0.0851671523276254,0.21279044408417655,0.003379044145661502,0.0008881158018923699,8.145440786586823e-05,0.0014819447108499898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3770235508341194,0.5330560380050502,0.4669439619949498,0.25256186239575146,15857.541666666666,3939.625,,,,,,,,,0.6907123582102102,0.026674579262911228,,,0.31923620630568883,,,,Very Low,0.6051971167432189,338,80984,264296,6778,31,294281,32413,456092,5,396,564,1286
